Regional Team Code,Regional Team Name,Provider Code,Provider Name,Type of Hospital,Month,Year, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks 
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",NHS,March,2025,"3,038",147,55,4.8%
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,NHS,March,2025,"6,285","2,100",778,33.4%
Y56,London Commissioning Region,NT405,Bishops Wood Hospital,Private,March,2025,12,0,0,0.0%
Y56,London Commissioning Region,NT406,Blackheath Hospital,Private,March,2025,15,1,0,6.7%
Y56,London Commissioning Region,NT451,Cavell Hospital,Private,March,2025,5,0,0,0.0%
Y56,London Commissioning Region,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,NHS,March,2025,"1,141",84,38,7.4%
Y56,London Commissioning Region,NT409,Chelsfield Park Hospital,Private,March,2025,34,0,0,0.0%
Y56,London Commissioning Region,NT411,Clementine Churchill Hospital,Private,March,2025,18,1,0,5.6%
Y56,London Commissioning Region,RJ6,Croydon Health Services NHS Trust,NHS,March,2025,"2,113",2,0,0.1%
Y56,London Commissioning Region,RVR,Epsom and St Helier University Hospitals NHS Trust,NHS,March,2025,"1,441",38,5,2.6%
Y56,London Commissioning Region,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,NHS,March,2025,"1,108",511,383,46.1%
Y56,London Commissioning Region,RJ1,Guy's and St Thomas' NHS Foundation Trust,NHS,March,2025,"5,253","1,201",210,22.9%
Y56,London Commissioning Region,NT416,Hendon Hospital,Private,March,2025,7,0,0,0.0%
Y56,London Commissioning Region,RQX,Homerton Healthcare NHS Foundation Trust,NHS,March,2025,"1,962",649,4,33.1%
Y56,London Commissioning Region,RYJ,Imperial College Healthcare NHS Trust,NHS,March,2025,"4,584",710,69,15.5%
Y56,London Commissioning Region,RJZ,King's College Hospital NHS Foundation Trust,NHS,March,2025,"4,069","1,241",502,30.5%
