Date,Total MRI Scans,Total Waiting List,6+ Week wait
2016-04-01,272155.0,176113,2953
2016-05-01,265410.0,183393,2071
2016-06-01,277195.0,192393,2781
2016-07-01,279035.0,184475,2546
2016-08-01,276805.0,176844,2921
2016-09-01,276825.0,188673,2390
2016-10-01,284775.0,187559,1788
2016-11-01,289300.0,196455,1762
2016-12-01,265470.0,182493,2517
2017-01-01,291340.0,179829,2590
2017-02-01,273920.0,185773,1514
2017-03-01,306020.0,190534,1329
2017-04-01,272295.0,173110,1546
2017-05-01,287440.0,185597,2220
2017-06-01,289715.0,190090,2201
2017-07-01,295355.0,183850,1843
2017-08-01,291720.0,176168,2273
2017-09-01,284775.0,184635,1849
2017-10-01,297165.0,193557,1605
2017-11-01,298380.0,203516,1959
2017-12-01,269855.0,180966,2822
2018-01-01,299280.0,185965,3727
2018-02-01,279550.0,194539,2270
2018-03-01,298550.0,197977,3657
2018-05-01,312590.0,211144,6342
2018-06-01,310230.0,210983,6706
2018-07-01,319705.0,203264,6406
2018-08-01,316020.0,186273,5819
2018-09-01,303110.0,188876,4912
2018-10-01,326550.0,203645,4339
2018-11-01,320620.0,211849,4318
2018-12-01,292795.0,196059,5339
2019-01-01,324435.0,205344,7673
2019-02-01,296575.0,211477,4068
2019-03-01,323125.0,213049,4301
2019-04-01,308070.0,206980,6792
2019-05-01,321490.0,208181,7202
2019-06-01,315855.0,209425,6510
2019-07-01,334855.0,211886,5409
2019-08-01,322320.0,188326,4744
2019-09-01,320860.0,195632,4868
2019-10-01,340410.0,215073,4754
2019-11-01,326250.0,217252,4793
2019-12-01,303350.0,202893,6842
2020-01-01,333055.0,213520,9229
2020-02-01,314445.0,217795,5736
2020-03-01,270550.0,160852,15710
2020-04-01,98340.0,143863,79248
2020-05-01,142610.0,161229,87932
2020-06-01,210465.0,185099,73091
2020-07-01,256320.0,203821,60065
2020-08-01,258625.0,199546,55988
2020-09-01,274130.0,215327,48571
2020-10-01,293425.0,215789,42297
2020-11-01,287290.0,219827,41412
2020-12-01,271615.0,212906,45571
2021-01-01,273510.0,198135,51211
2021-02-01,270215.0,199020,40005
2021-03-01,309730.0,224841,38185
2021-04-01,290975.0,239490,42130
2021-05-01,304830.0,255641,43081
2021-06-01,315550.0,275436,50431
2021-07-01,316485.0,277491,58341
2021-08-01,307850.0,265858,64685
2021-09-01,311900.0,281275,64395
2021-10-01,324360.0,279234,63461
2021-11-01,322965.0,295358,67452
2021-12-01,297560.0,282596,77055
2022-01-01,321520.0,280127,80334
2022-02-01,309940.0,289995,64250
2022-03-01,344600.0,302825,68709
2022-04-01,317860.0,286345,71910
2022-05-01,344860.0,289888,65892
2022-06-01,323195.0,285479,69238
2022-07-01,325925.0,276302,69163
2022-08-01,321635.0,270583,71163
2022-09-01,328835.0,282783,68273
2022-10-01,333495.0,281358,59101
2022-11-01,341320.0,302919,62947
2022-12-01,317105.0,283854,72809
2023-01-01,349555.0,294469,76915
2023-02-01,332195.0,298301,62097
2023-03-01,371630.0,301866,62553
2023-04-01,345885.0,274137,62449
2023-05-01,356105.0,278538,55192
2023-06-01,359195.0,290214,55935
2023-07-01,366905.0,280857,55301
2023-08-01,356360.0,268531,56436
2023-09-01,356280.0,280785,53713
2023-10-01,369500.0,292806,52603
2023-11-01,370660.0,314833,53736
2023-12-01,342315.0,287690,58829
2024-01-01,376735.0,302852,66247
2024-02-01,365150.0,316932,53525
2024-03-01,376330.0,310208,57411
2024-04-01,384415.0,314395,64512
2024-05-01,399225.0,318266,61705
2024-06-01,387680.0,314630,62656
2024-07-01,400900.0,317938,63042
2024-08-01,390905.0,290803,60518
2024-09-01,389925.0,297234,54373
2024-10-01,416805.0,311430,50829
2024-11-01,405065.0,320626,51092
2024-12-01,380725.0,300969,57001
2025-01-01,407430.0,321906,62470
2025-02-01,385780.0,332576,45974
2025-03-01,424910.0,331280,45529
