Region,Region Name,Org Code,Provider name,Date,Total MRI Scans,Total Prostate MRI
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/04/2016,1095,55
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/05/2016,865,43
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/06/2016,610,31
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/07/2016,470,24
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/08/2016,395,20
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/09/2016,1060,53
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/10/2016,1100,55
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/11/2016,1005,50
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/12/2016,1080,54
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/01/2017,1210,61
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/02/2017,940,47
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/03/2017,1315,66
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/04/2017,1015,51
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/05/2017,1175,59
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/06/2017,1125,56
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/07/2017,1285,64
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/08/2017,1250,63
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/09/2017,1080,54
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/10/2017,1190,60
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/11/2017,1150,58
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/12/2017,1070,54
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/01/2018,1020,51
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/02/2018,1215,61
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/03/2018,1320,66
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust, 01/04/2018,915,46
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/01/2019,1240,62
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/02/2019,1275,64
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/03/2019,1240,62
