Region,Org Code,Provider name,Modality,Date,Median Days Request to Test
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2020,3
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2020,6
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2020,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2020,13
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2020,8
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2020,9
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2020,10
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2020,12
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2020,10
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2021,13
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2021,11
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2021,11
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2021,9
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2021,9
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2021,11
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2021,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2021,13
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2021,13
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2021,13
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2021,13
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2021,15
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2022,18
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2022,15
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2022,9
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2022,15
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2022,13
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2022,20
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2022,15
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2022,16
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2022,18
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2022,19
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2022,21
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2022,17
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2023,27
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2023,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2023,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2023,27
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2023,24
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2023,20
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2023,17
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2023,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2023,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2023,18
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2023,16
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2023,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2024,17
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2024,16
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2024,16
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2024,19
