Region,RegionName,Org Code,Provider name,Date,Median Days Test to Report
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/04/16,4
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/05/16,2
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/06/16,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/07/16,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/08/16,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/09/16,5
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/10/16,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/11/16,2
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/12/16,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/01/17,4
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/02/17,2
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/03/17,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/04/17,2
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/05/17,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/06/17,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/07/17,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/07/17,5
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/08/17,5
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/09/17,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/10/17,2
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/11/17,2
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/12/17,4
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/01/18,2
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/02/18,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/03/18,4
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust, 01/04/2018,2
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/05/2018,2
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/06/2018,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/07/2018,2
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/08/2018,5
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/09/2018,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/10/2018,2
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/11/2018,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/12/2018,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/01/2019,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/02/2019,3
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/03/2019,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/04/2020,0
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/05/2020,0
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/06/2020,0
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/07/2020,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/08/2020,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/01/2021,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/04/2021,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/05/2021,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/06/2021,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/07/2021,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/08/2021,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/09/2021,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/10/2021,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/11/2021,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/12/2021,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/01/2022,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/02/2022,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/03/2022,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/04/2022,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/05/2022,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/06/2022,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/07/2022,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/08/2022,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/09/2022,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/10/2022,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/11/2022,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/12/2022,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/01/2023,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/02/2023,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/03/2023,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/04/2023,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/05/2023,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/06/2023,2
